date,time,message
12/16/2025,04:39,What up
12/16/2025,04:39,2 golds btw
12/16/2025,04:40,Lmao
12/16/2025,04:45,How long have you been running gtw
12/16/2025,04:46,Quint🙏
12/16/2025,04:50,I use purpletv
12/16/2025,04:51,Purpletv is for Android phones it has all the emote stuff (and adblock)
12/16/2025,04:52,I thought about that last run ong
12/16/2025,04:53,pillar
12/16/2025,04:55,There is some fps stuff
12/16/2025,04:56,I don't think she has an uncap hotkey at least not on the stream UI thing
12/18/2025,02:25,PeakPerformance
12/18/2025,22:54,How does a blind run work
1/23/2026,00:17,what did I tune into
1/23/2026,00:50,Everyone born before 2000 is unc
1/23/2026,00:50,that way Il it adjusts so Im never unc
2/11/2026,01:26,hello mr bean
2/11/2026,01:28,@Kittie1786_ Im typing in the discord vc chat btw
2/11/2026,01:37,This might be world record
2/11/2026,01:41,this ivy fella might be good at this game
2/11/2026,01:57,It kinda work
2/11/2026,02:20,Are you gonna run 100%?
2/11/2026,02:21,Im trynna get mario in get to work
2/11/2026,02:21,did you know Ivy plays with inverted controls but only for the Y axsis
2/11/2026,02:21,>:)
2/11/2026,02:22,@Kittie1786_ No I fixed it
2/11/2026,02:23,This playlist reminds me off parties in my hometown
2/11/2026,02:23,you can mess with settings if you want to make it feel like you are going even faster
2/11/2026,02:23,by pressing p
2/11/2026,02:24,@Kittie1786_ yeah
2/11/2026,02:25,maybe close the menu (I hope it fixes it)
2/11/2026,02:26,Ivy asking for inverted camera controls felt nasty to make
2/11/2026,02:27,do you see the camera is a little crooked
2/11/2026,02:28,I didnt notice until today it trips me out
2/11/2026,02:29,the fall is crazy
2/11/2026,02:29,oh true
2/11/2026,02:30,what was your afj time kittie
2/11/2026,02:30,he is kinda crushing rn
2/11/2026,02:31,when you hold forward it tilts so crazy lol
2/11/2026,02:31,@bassducklling I know lol
2/11/2026,02:32,yeah quint is crazy hard because there is no shadow
2/11/2026,02:32,"@bassducklling yeah its the ""FirstPersonModv1.1.zip"""
2/11/2026,02:32,the tilt is so crazy idk how I didnt see it lmao
2/11/2026,02:33,you might beat my 30 minute bp in first person
2/11/2026,02:33,@bassducklling yeah just unzip it into plugins
2/11/2026,02:34,@Kittie1786_ have a good nap
2/11/2026,02:34,what happens if you no clip?
2/11/2026,02:34,Idk if it works
2/11/2026,02:36,you are gonna beat my pb in first person lol
2/11/2026,02:37,oh thats tragic
2/11/2026,02:38,It just worked out like this
2/11/2026,02:39,The only thing that was jank was ragdolls
2/11/2026,02:39,can skip the ceo jump if you go for quint :9
2/11/2026,02:41,you are a crazy person
2/11/2026,02:42,you are crushing kittie pace
2/11/2026,02:43,when you get ceo the camera just stays on the floor lol
2/11/2026,02:44,I think kittie was at mm for 10 minutes
2/11/2026,02:46,I like that he looks up when he wants to go far lol
2/11/2026,02:47,your pace is insane but kittie spend 30 minutes here
2/11/2026,02:48,I mean technically all the skips are possible
2/11/2026,02:49,thx
2/11/2026,02:49,I think Im not gonna update it and just keep the cam super tilted
2/11/2026,02:50,lol
2/11/2026,02:50,no shadow makes this harder KEKW
2/11/2026,02:51,if you ragdoll in the air it is very hard to recover btw
2/11/2026,02:53,sub would be crazy
2/11/2026,02:53,sub 30*
2/11/2026,02:54,SUB 30!!
2/11/2026,02:54,legit half kitties time lol
2/11/2026,02:54,the cam in this cutscene is just on the floor
2/11/2026,02:57,heated rivalry ad hmm
2/11/2026,02:57,are they in the discord?
2/11/2026,02:59,Welp I need to sleep I got classes tmr at 2 pm good luck with the runs n streams
2/11/2026,02:59,Yeah collision is kinda fucking me but I hope Im done with it this week
2/11/2026,03:00,No Im adding supermario 64 mario with movement
2/11/2026,03:00,Im gonna make pads activate when you ground pound on it
2/11/2026,03:00,I think its gonna be possible
2/11/2026,03:00,welp gn
3/13/2026,05:56,@IvyCide Im making a short where I indirectly glaze you btw
3/13/2026,05:57,Was the bean on the side always here
3/13/2026,05:59,-18 minutes W split
3/13/2026,06:02,You dont have a shortcut on your desktop
3/13/2026,06:03,Web dev stuff is a pain
3/13/2026,06:04,Coding is fun but only to make dumb stuff
3/13/2026,06:05,making like a Sass product isnt even a little fun
3/13/2026,06:05,Or fixing bugs
3/13/2026,06:06,Do you call them slingshots or launchpads?
3/13/2026,06:07,the things you topgrab on
3/13/2026,06:10,What is the most visually impresrsive top grab
3/13/2026,06:11,wait thats true
3/13/2026,06:13,Did yall know topgrabs are kinda random
3/13/2026,06:14,When I do the same frame inputs I get diffrent topgrabs
3/13/2026,06:15,tbh my code might be shit
3/13/2026,06:16,"Im making a video explaining topgrabs I wanted some Isto ish shots, so I made a basic replay tool"
3/13/2026,06:16,!gamble all
3/13/2026,06:17,@StreamElements W
3/13/2026,06:44,6 7
3/13/2026,06:57,there is a stp they use no?
3/13/2026,06:57,*set up
3/13/2026,07:19,gg
4/30/2026,02:51,im lurking
4/30/2026,02:51,the doink ui is so fucked lol
4/30/2026,02:53,It is some camera stuff
4/30/2026,02:54,Yeah I made a mirror effect on the camera and inverted the player movement so it feels normal
4/30/2026,03:00,I think it should be fine
4/30/2026,03:01,I would be inverting to invert invert so it would be inverted correctly I think
4/30/2026,03:03,Im excited to see you try MM
4/30/2026,03:06,There are a lot of hold forward parts in JFA so it doesnt feel that fucked
4/30/2026,03:07,Did Ivy notice the main menu was mirrored?
4/30/2026,03:10,you have gone backwards like 3 times haha
4/30/2026,03:14,@zcknew what are you talking about this is a normal play trough
4/30/2026,03:16,"First person, mirrored map, always forward, 10 games at once sub 10 when?"
4/30/2026,03:20,Its mirrored so down is up or something
4/30/2026,03:20,Yeah like half the run was quinting lol
4/30/2026,03:21,you should show zck the menu screen
4/30/2026,03:24,You can watch kittie and ivy at the same time on discord no?
4/30/2026,03:26,When my exams are over
4/30/2026,03:26,wtf
4/30/2026,03:27,that was way to close
4/30/2026,03:28,yepp is 30 for me
4/30/2026,03:32,Is zck still here
4/30/2026,03:32,Have you seen the main menu
4/30/2026,03:34,"I got classes tomorrow, so I gotta get some sleep glad you liked the mod!"
4/30/2026,03:34,!gamble all
4/30/2026,03:34,!slots
4/30/2026,03:35,!slots 1000
4/30/2026,03:35,!slots 1000 ͏
4/30/2026,03:35,!slots 1000
4/30/2026,03:35,!slots 1000 ͏
4/30/2026,03:35,!gamble 1000 win
4/30/2026,03:35,!gamble 100
4/30/2026,03:36,!gamble 11%
4/30/2026,03:36,!gamble 11% ͏
4/30/2026,03:36,!gamble 12%
4/30/2026,03:36,!try to make it 1
4/30/2026,03:37,!gamle 1
4/30/2026,03:37,!gamle 2
4/30/2026,03:37,oh lol I didnt see that
4/30/2026,03:37,!gamble 12
4/30/2026,03:37,!gamble 13
4/30/2026,03:37,Its quick now me thinks
4/30/2026,03:38,baldie
4/30/2026,04:26,"""yeah sex is cool but have you tried sour mike & ikes"""
4/30/2026,04:27,do people that think pilk is disgusting know what a root beer float is
4/30/2026,04:28,Pepsimilk gotta be a crime against humanity
4/30/2026,04:29,Choco milk has good macros
4/30/2026,04:31,How did Atrioc pay Ivy btw?
4/30/2026,04:32,There is a funny clip of Atrioc reading a DM of Ivy saying she is too young to have a bank account so she doesnt know how he can pay her for the sub 7 bounty
4/30/2026,04:33,ahahahha
4/30/2026,04:33,Wait Ivy is older than me
4/30/2026,04:35,At some point the normal game will look mirrored and this will look normal
6/5/2026,22:37,Hairless greyhound
6/5/2026,22:39,Small ass floppy ears
6/5/2026,22:41,Is the discord pip Ivy swapping between 2048 and stoned dragons stream?
6/5/2026,22:42,Wdym its buns wernt you grinding it for like a month
6/5/2026,22:44,Stockholm syndrome
6/5/2026,22:45,She is in mm
6/5/2026,22:45,really close like 1 second lead
6/5/2026,22:46,LEADING
6/5/2026,22:46,!!
6/5/2026,22:47,Does green get your world records if he beats you
6/5/2026,22:49,are you going for rhymo
6/5/2026,22:49,I meant you green
6/5/2026,22:50,almost clean
6/5/2026,22:52,Can I say the bean bag opening on the bean lizard like something else
6/5/2026,22:52,*looks like
6/5/2026,22:53,You need to go for rhymo yo catch up now
6/5/2026,22:56,competing to see who can throw the hardest
6/5/2026,22:58,Can you close the streamermode discord banner
6/5/2026,23:01,perfect spelling
6/5/2026,23:01,does stoner know animation too?
6/5/2026,23:05,Mox can you do the Mrbeast voice
6/5/2026,23:05,I feel you would be good at it
6/5/2026,23:06,What do you mean rank
6/5/2026,23:06,Like a tierlist of all thumbnails
6/5/2026,23:20,!youtube
6/5/2026,23:28,Did yall want to make a tierlist of the speedrun.com thumbnails
6/5/2026,23:29,heard cheff
6/5/2026,23:43,Il just get them all in
6/5/2026,23:43,I have some code Im reusing to do it so its automatic
6/6/2026,00:02,Im done
6/6/2026,00:02,Il just send the link in chat
6/6/2026,00:04,https://speedrunranking-production.up.railway.app/
6/6/2026,00:05,speedrun.com has an API
6/6/2026,00:06,I had already figured out the thumbnail things for gssaturday.com for Atrioc so the easy part was done
6/6/2026,00:09,I fixed adding new lines btw if you refresh it should be fixed
6/6/2026,00:09,if you fill a row you need to scroll
6/6/2026,00:10,Its a bug you should refresh and its fixeed
6/6/2026,00:10,@DaGreenestBean refresh before you add stuff
6/6/2026,00:10,W
6/6/2026,00:11,There are 0 lowgrab doink runs btw
6/6/2026,00:11,Open for the taking
6/6/2026,00:12,Dulfins thumbnail is lowkey the best
6/6/2026,00:13,lmao its fitting run 67 has the most brainrot AI slop thumbnail ever
6/6/2026,00:14,Woah genious
6/6/2026,00:16,Ivys lowgrab thumbnail is so cinematic
6/6/2026,00:16,Low split I mean
6/6/2026,00:19,Can you move chat to top right
6/6/2026,00:21,lmao what is chippys thumbnail
6/6/2026,00:22,)
6/6/2026,00:22,you can right click to open image btw
6/6/2026,00:22,to see it big
6/6/2026,00:22,nvm
6/6/2026,00:24,that cant be right lmao
6/6/2026,00:26,He has to have choosen that
6/6/2026,00:26,That s
6/6/2026,00:27,I lowkey think its low s
6/6/2026,00:28,one second apart
6/6/2026,00:30,!gamble all
6/6/2026,00:30,@StreamElements 👎
6/6/2026,00:31,!gamble 2000
6/6/2026,00:31,how long is the cc?
6/6/2026,00:31,!gamble 200
6/6/2026,00:32,!gamble all
6/6/2026,00:32,WWWWWWWWWWWWWWWWWWWWWWWWWWW
6/6/2026,00:32,!slots 200
6/6/2026,00:33,!slots 1500
6/6/2026,00:33,!gamble 321
6/6/2026,00:34,!gamble 1
6/6/2026,00:34,!gamble 20
6/6/2026,00:35,He is so locked in in 15
6/6/2026,00:35,★
6/6/2026,00:36,you think that was autogenerated?
6/6/2026,00:36,its so good
6/6/2026,00:37,!gamble 1500
6/6/2026,00:39,you have selected the row btw
6/6/2026,00:41,!slots 500
6/6/2026,00:41,!slots 650
6/6/2026,00:43,check out ivys low split thumbnail
6/6/2026,00:43,Its is fire
6/6/2026,00:44,no worries
6/6/2026,00:45,flasho is live
6/6/2026,00:45,!raid
6/6/2026,00:46,Get the sub 9 for pride month
6/7/2026,21:03,Who is the facecam guy
6/9/2026,06:48,Isnt it super late in America rn?
6/9/2026,06:49,I just woke up
6/9/2026,06:49,yurr
6/9/2026,06:50,damn you are hitting this quints
6/9/2026,06:51,Have you hit all of them so far?
6/9/2026,06:52,you were on like a streak of 4 quints when I tuned in it was crazy
6/9/2026,06:54,!pb
6/9/2026,06:55,What is Ivys best clip?
6/9/2026,06:56,Have you seen bambees best clip of him showing his feet
6/9/2026,06:57,https://www.twitch.tv/bambeelt/clip/InterestingOriginalCamelWTRuck-Yiqb5NLkYehv_e4_?filter=clips&range=30d
6/9/2026,06:59,White boy can dance
6/9/2026,07:00,Imo feet is like the nasties body part
6/9/2026,07:01,Flash whats the nasties body part
6/9/2026,07:02,green had like a streak of 4 lowgrab quints in a row
6/9/2026,07:02,Damn they are lowkey twinning
6/9/2026,07:02,I would believe were brothers if you told me
6/9/2026,07:03,He should match the pose
6/9/2026,07:07,I fucking dont understand it bro
6/9/2026,07:08,I can show you how it is rn
6/9/2026,07:09,I have like gotten it to kinda work but there are still hitbox thingies I need to fix because the emulator can only have a few hitboxes at once so I need to load and unload them while mario moves
6/9/2026,07:09,https://www.twitch.tv/finn_lop/clip/TiredEphemeralMosquitoSquadGoals-_0lE2ttKNzW65Fbb
6/9/2026,07:11,Im thinking of putting a 100$ bounty for anyone who can beat the sm64 mod first
6/9/2026,07:13,Do you think 100$ for first to beat is better or 70 for first and 20 for second and 10 for third is better
6/9/2026,07:17,Isnt topgrab lowkey the better catagory
6/9/2026,07:17,topgrab is like the blj of gtw
6/9/2026,07:37,I mean reloading is slow idealy you wouldnt do it in a speedrun
6/9/2026,07:37,you know you can shift to move fast in no clip?
6/9/2026,07:38,W ads
6/9/2026,08:07,holy
6/9/2026,08:07,Bro used 10 years worth of luck
6/9/2026,08:08,!gamble 1000
6/9/2026,08:08,@StonerDraggo L
6/9/2026,08:09,I guess Im just a better gambler what can I say
6/9/2026,08:09,wtf thats insnane
6/9/2026,08:10,gonna take a long time on 60
6/9/2026,08:11,Would this just be easier on 30-45?
6/9/2026,08:17,There was a pretty big tiktok streamer who was speedrunning get to work for like a month
6/9/2026,08:22,We are all viewbots
6/9/2026,08:31,Im 05
6/9/2026,08:33,stooner getting so hype makes the clip
6/9/2026,08:37,They sucked at beating off hard to watch bro
6/9/2026,08:41,Did you get raided why are there 13 people here
6/9/2026,08:48,Its and australian thing
6/9/2026,08:48,*an
6/9/2026,08:49,You need to go for top 10 during pride month bro
6/9/2026,08:50,For the gays
6/9/2026,08:50,The L in LGBTQ stands for Dark Luck
6/9/2026,08:52,gg stoner won
6/9/2026,08:52,Is ivy not American?
6/9/2026,08:54,You need to a bruski ivy
6/9/2026,08:55,Does using a laptop count as being at your pc
6/9/2026,08:55,KITTTTTTTTTTIEEEEEEEEEEEE
6/9/2026,08:57,get your 1k ready green
6/9/2026,08:58,Does kittie know he is muted
