date,time,message
6/30/2026,23:20,Mayor of like the city
6/30/2026,23:21,Are you prepared for the joshy and yoshi jokes
6/30/2026,23:22,@bbchile
6/30/2026,23:22,Or run for office to get her fierd
6/30/2026,23:23,Make it like a mamdami social media thing to fire here
6/30/2026,23:23,Il fly over and vote illegally dw
6/30/2026,23:24,Pickles are yummy
6/30/2026,23:24,Limes is transphobic too he is often wrong
6/30/2026,23:25,@bbchile
6/30/2026,23:26,How many subs for you to drink pickle water
6/30/2026,23:26,Whole ass chat is mod or vip
6/30/2026,23:27,Mod list the new epstein list
6/30/2026,23:28,Damn Im on the list
6/30/2026,23:28,She has a child yeah
6/30/2026,23:28,!finn doesnt work here
6/30/2026,23:30,If I have a child could you please go bald and lie down in one of those baby beds in a baby costume
6/30/2026,23:31,It would a funny picture
3/11/2025,04:04,Whats your pb limes
3/11/2025,04:06,ich bin nicht deutscher
3/11/2025,04:09,Ich bin norwegerin
3/11/2025,04:12,Fantastisch!
3/11/2025,04:13,yeah but mine is worse lol
3/11/2025,04:14,There are so many dialects
3/11/2025,04:16,Practically Norwegian already
3/11/2025,04:18,Jeg har det bra!
3/11/2025,04:19,Same
3/11/2025,04:20,You are hungry
3/11/2025,04:21,for me aswell
3/11/2025,04:23,lol nvm I have the same r
3/11/2025,04:23,There is a part of norway with a diffrent r tho
3/11/2025,04:25,what about you I assume you arnt a full time GTW speedrunner
3/11/2025,04:26,like for coding
3/11/2025,04:29,Love me some American big tech companies
3/11/2025,04:32,I tought you were a youtuber
3/11/2025,04:32,yeah
3/11/2025,04:35,It looks kinda pixely on my screen but I have it very small in the corner
3/11/2025,04:36,I th8ink your bitrate is kinda low
3/11/2025,04:39,It is a mod of the twitch app
3/11/2025,04:40,Do you stream often?
3/11/2025,04:41,@crystalthatgoat
3/11/2025,04:44,The french are all snacks
3/11/2025,04:45,Capcut does it with ai for english content think you need pro for it
3/11/2025,04:48,Face reval
3/11/2025,04:50,Listen to the people!
3/11/2025,04:52,WE LOVE HER
3/11/2025,04:53,POGGERS
3/11/2025,04:56,You should do a whole stream were you say nothing and just scroll shorts for 3 hours
3/11/2025,05:27,Bye bye
3/11/2025,04:09,Are you really 35
3/11/2025,04:10,a streamer
3/11/2025,04:13,Is kittie they/them
3/11/2025,04:16,Headcannon is you make your own lore sonic is like gay or something
3/11/2025,04:18,The discord kitten mod some would say
3/11/2025,04:20,You can show we wont snitch :)
3/11/2025,04:22,wise words
3/11/2025,04:23,he is on the minecraft server
3/11/2025,04:24,Can you turn up exposure
3/11/2025,04:27,Gotta help the small streamers you know
3/11/2025,04:28,I have a vague memory of a mogulmail on it or something
3/11/2025,04:30,Someone should edit makeup on him and make a gtw-badie emote
3/11/2025,04:32,or add the emote
3/11/2025,04:33,for sharing images
3/11/2025,04:37,You should do chat popout
3/11/2025,04:44,haha
3/11/2025,04:52,@Chippy
3/11/2025,04:53,It also looks cooler
3/11/2025,05:02,Include this part
3/11/2025,05:12,Blaukraut bleibt Blaukraut und Brautkleid bleibt Brautkleid.
3/11/2025,05:13,so loud
3/11/2025,05:19,You slayed when you sang https://www.twitch.tv/magicallimes/clip/LaconicPleasantFalconSSSsss-IWGZIFKU6r8KMrvQ
3/11/2025,05:22,You can search in top right
3/11/2025,05:24,The one you tought him eariler
3/11/2025,05:29,raid chippy
3/11/2025,05:29,DRAMA
3/15/2025,05:10,Did we get a world record?
3/15/2025,05:11,@ag3nt_dev1l
3/15/2025,05:11,HYPE TRAIN
3/15/2025,05:13,I just got here
3/15/2025,05:59,yes sir
3/15/2025,06:01,I fine with whatever I have to leave soon
3/15/2025,06:02,stuff I have to do
3/15/2025,06:03,Dont you have chicken burgers in america
3/15/2025,06:03,PLEASE GOD
3/15/2025,06:05,Nope
3/15/2025,06:08,I thought you where talking about Kittie lol
3/15/2025,06:11,6:00 am
3/15/2025,06:13,No worries its fun
3/15/2025,06:17,did you mean to go on the door
3/15/2025,06:20,I have never watched a low grab run this is so cool
3/15/2025,06:24,Do you have a guide made for this run
3/15/2025,06:24,thats prob why she was yelling
3/15/2025,06:30,this run is crazy
3/15/2025,06:32,ouch
3/15/2025,06:35,Is that consitent
3/15/2025,06:37,How do you do the end of mm
3/15/2025,06:42,What time is it in the land down under?
3/15/2025,06:45,same
3/15/2025,06:50,Is the climbing slowly thing you do hard
3/15/2025,06:51,That was the main part of mm I was wondering about
3/15/2025,06:55,quint time
3/15/2025,06:58,Dope run
3/15/2025,06:59,I have thought about trying to get a real run
3/15/2025,07:01,tschuss
3/15/2025,04:05,NotLikeThis NotLikeThis BAMBEE HAS NO RAID MESSAGE NotLikeThis NotLikeThis NotLikeThis NotLikeThis BAMBEE HAS NO RAID MESSAGE NotLikeThis NotLikeThis NotLikeThis NotLikeThis BAMBEE HAS NO RAID MESSAGE NotLikeThis NotLikeThis NotLikeThis NotLikeThis BAMBEE HAS NO RAID MESSAGE NotLikeThis NotLikeThis
3/15/2025,04:06,@crystalthatgoat
3/15/2025,04:08,This song gives hometown pub vibes
3/15/2025,04:23,I felt so bad watching him fall
3/15/2025,05:28,Are we reccomending music?
3/15/2025,05:39,now or save it for the music stream
3/15/2025,05:43,Did you see Nordsley is pausing stream because he has to head to uni?
3/15/2025,05:45,it 5:45 in eu so I assume he has class in 1 or 2 hours
3/15/2025,05:46,what do you mean both accounts
3/15/2025,05:59,bye bye
3/15/2025,05:59,they will wake up after he comes baclk
3/21/2025,04:05,Are we writing fan fic
3/21/2025,04:08,Is this for the voice acting gig for bambee?
3/21/2025,04:09,Bam and jubs for sure
3/21/2025,04:16,🔥🖋️
3/21/2025,04:18,Im fine with being the bad guy
3/21/2025,04:21,BAN HIM
3/21/2025,04:26,LMAOOO
3/21/2025,04:32,Bro is a born writer
3/21/2025,04:35,What is Kerems character?
3/21/2025,04:39,I gtg its gonna be 4am soon I really need to sleep when will bambee read this?
3/21/2025,04:40,Night and good luck with the smut🫡
3/21/2025,03:35,what is the raid message what is the raid message what is the raid message
3/21/2025,03:36,@crystalthatgoat
3/21/2025,03:36,Dance
3/21/2025,03:38,A breathtaking lyrical masterpiece
3/21/2025,03:39,play that song at my funeral
3/21/2025,03:44,@Kittie1786_
3/21/2025,03:45,@crystalthatgoat
3/21/2025,03:46,what is happening lol
3/21/2025,03:48,lol
3/21/2025,03:49,@frostkillere
3/21/2025,03:53,wr time EZ
3/21/2025,03:53,you are never gonna belive this
3/21/2025,03:55,poland
3/21/2025,03:56,that car is funny
3/21/2025,03:58,It was on a sign when I played kittie thats why I know the s thing
3/21/2025,04:00,Woke mobile
3/21/2025,04:01,romania but wierd ass flag
3/21/2025,04:02,call me crazy this feels norwegian but like sad norway
3/21/2025,04:02,no sweden is sad norway
3/21/2025,04:05,I asked chatgpt and it is the Transgender Pride Flag
3/21/2025,04:06,I had a glass jar in there and they had to look in it to see it wasnt drugs or whatever it should be sent by tommrow I hope
3/21/2025,04:07,latvia
3/21/2025,04:08,that wasnt swedish for sure
3/21/2025,04:08,can she game?
3/21/2025,04:09,finish is gebrish
3/21/2025,04:10,Nigeria
3/21/2025,04:10,"and bro said he was ""ok"""
3/21/2025,04:13,find a guy and profile him
3/21/2025,04:14,*diesel
3/21/2025,04:14,no other country uses diesel other than russia this is russia
3/21/2025,04:15,northern lions car
3/21/2025,04:17,COME AND VISIT US BEFORE YOU GO SHOPPING SOMEWHERE ELSE
3/21/2025,04:19,we have a spot like that for norwegians in spain where 70% of people are norwegian on vacation
3/21/2025,04:21,idk I dont speak french
3/21/2025,04:22,I dont know any of the tech Im going of vibes
3/21/2025,04:23,have we seen any signs?
3/21/2025,04:24,I know a guy named nazim
3/21/2025,04:25,Was the dog alive during the 19040s?
3/21/2025,04:27,give us the hot dram
3/21/2025,04:32,its still giving north uk but Im vibes based
3/21/2025,04:33,what rank are you?
3/21/2025,04:34,its so bad
3/21/2025,04:36,its so bad its kinda funny he has like a stock gunshots sound many times in the song I listened to
3/21/2025,04:37,Ima be real idk what gold means i dont know what the other ranks are
3/21/2025,04:39,Ima gonna sit my white ass down and listen
3/21/2025,04:40,I wanted to hear more
3/21/2025,04:41,!youtubemusic
3/21/2025,04:47,Prime eminem got nothing on this flow and lyrics
3/21/2025,04:49,there is a fee for being on spotify
3/21/2025,04:50,You are forcing me to stay awake lime
3/21/2025,04:51,atrioc is live
3/21/2025,04:51,you got the glizzy vibes here
3/21/2025,04:52,is a gtw
3/21/2025,04:52,@crystalthatgoat
3/21/2025,04:53,!raidmessage
3/29/2025,03:04,how is the fan fic going?
3/29/2025,04:44,unc is asking us if we know unc music
3/29/2025,04:46,didnt it come out 2005 sep 13.
3/29/2025,04:47,and gamble
3/29/2025,04:49,why is bro talking about foreskin????
3/29/2025,04:50,@BambeeLT
3/29/2025,04:50,did you put it in?
3/29/2025,04:50,this is the wrong mod
3/29/2025,04:51,this is the right one
3/29/2025,04:52,grab counter=
3/29/2025,04:54,bambee did yfi in 16 min
3/29/2025,04:57,bambee was here by 4 min and left 10 mintues later
3/29/2025,05:00,Its like watching the bambee stream twice
3/29/2025,05:02,motionsickness dot?
3/29/2025,05:03,"it says ""Point for for motionsickness"""
3/29/2025,05:04,idk why they wrote it like that idunno if its right
3/29/2025,05:06,I wonder how fast brand would beat this
3/29/2025,05:08,try to press f10
3/29/2025,05:08,reset :)
3/29/2025,05:10,what happens if you spin on those do you stand still
3/29/2025,05:10,POGGERS
3/29/2025,05:12,@crystalthatgoat
3/29/2025,05:13,lowgrab invalid!
3/29/2025,05:14,i has 4 sense so you cant do the turn things to slowdown
3/29/2025,05:21,can we get a prediction on sub 1 hour 30 min
3/29/2025,05:22,its up
3/29/2025,05:23,Im either gonna lose it all or gain nothing agian
3/29/2025,05:24,50 min
3/29/2025,05:25,well done!
3/29/2025,05:29,back to cogs Sadge
3/29/2025,05:35,WWWWW
3/29/2025,05:37,good luck
3/29/2025,05:39,15 minutes before Im rich
3/29/2025,05:41,I still have no clue what a poppy scoppy is
3/29/2025,05:44,is a fissure not a wound
3/29/2025,05:46,wtf
3/29/2025,05:47,ok
3/29/2025,05:48,dont you hold forward here normally?
3/29/2025,05:50,@crystalthatgoat
3/29/2025,05:51,I think I understand what you are getting at
3/29/2025,05:53,Can you show the cat :)
3/29/2025,05:56,Im so tired limes you need to beat this so I can go to bed soon
3/29/2025,05:57,Did you see the jubbin clip where he ate the hot chip
3/29/2025,05:59,quint :)
3/29/2025,06:00,wowser
3/29/2025,06:03,quint quint quint
3/29/2025,06:08,bambee7O7 bambee7O7 bambee7O7 bambee7O7 bambee7O7
3/29/2025,06:10,isto cursed him
3/29/2025,06:11,you have a wife?
3/29/2025,06:12,@crystalthatgoat
3/29/2025,06:13,He made animal well
3/29/2025,06:16,isnt it the correct term
3/29/2025,06:18,how gentleman of you
3/29/2025,06:21,I was trying to ask wie lange hat dein erstes durchspielen gedauert
3/29/2025,06:22,you have 15 min limes
3/29/2025,06:24,sub 1 hour 30
3/29/2025,06:25,This makes me uncomfy
3/29/2025,06:26,I hope he beats it while muted
3/29/2025,06:27,@crystalthatgoat
3/29/2025,06:28,@turnbased_tactician
3/29/2025,06:28,couldnt handle us chatters
3/29/2025,06:30,To scared to unmute xdd
3/29/2025,06:32,welcome back :)
3/29/2025,06:33,@turnbased_tactician
3/29/2025,06:33,Can you sing my favorite song old town road Limes :=
3/29/2025,06:34,fuck
3/29/2025,06:35,catJAM
3/29/2025,06:36,hahahahah
3/29/2025,06:38,@crystalthatgoat
3/29/2025,06:38,you can clutch if you play good right now
3/29/2025,06:40,o7 its lost
3/29/2025,06:41,Im so fucked
3/29/2025,06:42,what time is it in usa
3/29/2025,06:42,@crystalthatgoat
3/29/2025,06:43,She is talking about fuck
3/29/2025,06:43,:)
3/29/2025,06:44,I need my money back
3/29/2025,06:45,like an icebreaker
3/29/2025,06:46,the sun is rising
3/29/2025,06:48,or girl idk
3/29/2025,06:48,lol
3/29/2025,06:50,as if you havent lost it already
3/29/2025,06:52,@crystalthatgoat
3/29/2025,06:53,Make it Make it Prayge
3/29/2025,06:53,POGGIES
3/29/2025,06:53,where is the finish song
3/29/2025,06:54,chippy
3/29/2025,06:54,catJAM
3/29/2025,06:55,!raid
3/29/2025,06:55,:)
3/29/2025,06:56,hope you find your one
3/29/2025,21:08,RAID
3/29/2025,21:09,you should make a setup
3/29/2025,21:21,Im gonna take a nap limes Im hoping to fix my sleep before I uni starts again.
3/30/2025,05:22,Good morning
3/30/2025,05:24,https://www.piday.org/pi-quiz/
3/30/2025,05:26,You should play sex with hitler
3/30/2025,05:28,have you played monkey ball?
3/30/2025,05:31,isnt it the circle thing
3/30/2025,05:33,wet
3/30/2025,05:35,asia
3/30/2025,05:35,rice
3/30/2025,05:35,chicken
3/30/2025,05:37,dumpling
3/30/2025,05:38,temu
3/30/2025,05:41,13 mil total exports this shit tiny
3/30/2025,05:44,or what the little thing is
3/30/2025,05:46,3rd world country
3/30/2025,05:49,I think norway has 200 billion dollars in exports
3/30/2025,05:51,guatamala
3/30/2025,05:54,Gabon
3/30/2025,05:55,norway :)
3/30/2025,05:56,refresh?
3/30/2025,05:57,W game
3/30/2025,05:58,T for turkey
3/30/2025,06:01,MARRY
3/30/2025,06:05,birdie yankees eagle dolly
3/30/2025,06:08,it is musicals but i dont know shit
3/30/2025,06:09,IT WAS MUSCIALS
3/30/2025,06:10,a
3/30/2025,06:11,next is bull
3/30/2025,06:11,7 is limes
3/30/2025,06:13,abs 1
3/30/2025,06:15,its bear
3/30/2025,06:17,I dont get suddoku
3/30/2025,06:18,whate is auto candidate mode
3/30/2025,06:18,do it with us :)
3/30/2025,06:24,omg I feel so bad for the one who got mine
3/30/2025,06:29,Nobody knows I gues
3/30/2025,06:30,car
3/30/2025,06:32,Why is crystal naked
3/30/2025,06:34,it looks more like baldie than a egg
3/30/2025,06:41,the chicken is good
3/30/2025,06:43,I can kinda see why is it blue I thought it was the ocean
3/30/2025,06:44,please dont
3/30/2025,06:46,is this what it was
3/30/2025,06:46,@crystalthatgoat
3/30/2025,06:47,The only black guy in our gartic phone btw
3/30/2025,06:50,ㅤ
3/30/2025,06:53,Is this like fortnite genshin impact
3/30/2025,06:53,I love gambling
3/30/2025,06:57,have you tried clicktheredbutton.com
3/30/2025,07:00,Ill meet you at the corner!
3/30/2025,07:03,you could say a great wall
3/30/2025,07:07,no raid?
3/30/2025,07:09,bye bye
3/30/2025,03:10,Love the new cut
3/30/2025,02:15,Why do you cum cutely everytime you start the stream :)
3/30/2025,02:18,Do a Volleyball stream :)
3/30/2025,02:21,short stream :(
3/30/2025,02:51,Why not do one where you type in the names instead of clicking?
5/13/2025,01:17,Limeesssssss
5/13/2025,01:23,...
5/13/2025,01:36,This song gives me ptsd from my job as a cook at a restaurant
5/13/2025,01:40,Do you take song requests
5/13/2025,01:41,"Here is a song they have Klikk, undergrunn, Egoland"
5/13/2025,01:48,Its norwegian lol
5/13/2025,05:21,Im back lime have you missed me!!
5/13/2025,05:22,it prob to high res
5/13/2025,05:23,I can fix it for you
5/13/2025,05:24,yepp this looks good wont get better than this either way
5/13/2025,05:28,This looks like an ugly version of a norwegian house
5/13/2025,05:37,didnt mean to send that
5/13/2025,05:38,yeah its just for you to see it I sent you the iamge
5/13/2025,05:38,Does this man not have on notificatinos for me :(
5/13/2025,05:40,iceland
5/13/2025,05:41,I forget brand speaks french
5/13/2025,05:43,Have you listen to my principels song :)
5/13/2025,05:45,magica129Smoke magica129Smoke
5/13/2025,05:45,I get payed by Bambee to be here
5/13/2025,05:47,Lol Ive been here
5/13/2025,05:48,pride flag :)
5/13/2025,05:49,nvm
5/13/2025,05:51,Was I the only one who thought brand was male
5/13/2025,05:53,Do a stream learning an extinct language
5/13/2025,05:55,Also why would serbia have a sign to greece?
5/13/2025,05:58,Got Ukraine wrong? Guess you support Russia :(
5/13/2025,05:59,Nigeria
5/13/2025,06:00,greece :)
5/13/2025,06:01,its that country with all the colours
5/13/2025,06:02,uganda
5/13/2025,06:03,green and yellow
5/13/2025,06:03,its upside down
5/13/2025,06:04,cnog
5/13/2025,06:04,its indiana
5/13/2025,06:06,now they have it wierd for sure
5/13/2025,06:08,chare
5/13/2025,06:09,arare
5/13/2025,06:12,is quicksilver a colour
5/13/2025,06:14,crashed :(
5/13/2025,06:15,lovely echo
5/13/2025,06:16,Im so bad at spelling
5/13/2025,06:16,nerd
5/13/2025,06:18,nerd is a word
5/13/2025,06:19,butler
5/13/2025,06:20,does the number mean include in any way or just start with
5/13/2025,06:21,tull means a lot
5/13/2025,06:22,like tull can mean messy and funny ish ig
5/13/2025,06:24,turin
5/13/2025,06:25,like in canada
5/13/2025,06:28,unit
5/13/2025,06:32,bued
5/13/2025,06:32,belt!
5/13/2025,06:33,class soon :)
5/13/2025,22:25,Im buying pizza
5/13/2025,22:28,Do i have to refresh to smoke
5/13/2025,22:28,The crystal art stream was fire limes you shouldve been there
5/13/2025,22:34,Jide sounds like jizz lol
5/13/2025,22:48,Maybe he cant feel his feet :)
5/13/2025,22:49,@crystalthatgoat
5/13/2025,22:51,I would watch any game you got world record in limes :)
5/13/2025,22:53,Fastest german language lowgrab run
5/13/2025,22:54,and I have done the first room blindfolded :)
5/13/2025,22:55,What amount sm64 record
5/13/2025,22:57,@crystalthatgoat
5/13/2025,22:59,@crystalthatgoat
5/13/2025,23:00,Was corpse among us only or did he play minecraft also
5/13/2025,23:05,you need his profile open
5/13/2025,23:06,magica129Smoke magica129Smoke magica129Smoke
5/13/2025,23:08,yupp on the screenshot it says where to return it :)
5/13/2025,23:10,yupp above the arctic circle
5/13/2025,23:11,Im moving in august limes you have to dox me quick
5/13/2025,23:14,my og town had 1000 people and where I live now has 40 000 people and oslo has 750 000 gonna be diffrent
5/13/2025,23:15,@frostkillere
5/13/2025,23:16,@frostkillere
5/13/2025,23:17,we are always seraching jide
5/13/2025,23:20,20 seconds left limes aga
5/13/2025,23:22,Im eating the pizza I bought now
5/13/2025,23:23,hungry
5/13/2025,00:39,was ther pizza good
5/13/2025,00:41,geogussr sometimes
5/13/2025,00:42,you had a pizza what that was good
5/13/2025,00:43,magica129Smoke magica129Smoke magica129Smoke we dont need anymore we got this magica129Smoke magica129Smoke magica129Smoke
5/13/2025,00:45,@brandwagen_
5/13/2025,00:46,magica129Smoke magica129Smoke magica129Smoke
5/13/2025,00:46,If its camping its prob like the russian norwegian border lol
5/13/2025,00:48,well I hope he likes norway the nature is the best part so the camping might be kinda chill
5/13/2025,00:51,jubbin1Lego
5/13/2025,00:53,@brandwagen_
5/13/2025,00:54,Ive only had mass produced supermarket schnitzels
5/13/2025,00:56,What is your favorite german food
5/13/2025,00:57,I think everyone prefers their local beer lol
5/13/2025,00:58,I think a well made bratwurst is s tier
5/13/2025,01:00,usa perfected hamburgers
5/13/2025,01:02,Berliner brøtchen in german
5/13/2025,01:03,usa doesnt have it because you guys have terrible bread
5/13/2025,01:04,no butter even
5/13/2025,01:05,I got to say central europe does have better bread than we north do
5/13/2025,01:06,me neither I was hoping you would tell me liems
5/13/2025,01:07,Kebab is number one drunk food
5/13/2025,01:11,You a kpop guy brand :)
5/13/2025,01:12,Was it them who said the nword a bunch on their application videos?
5/13/2025,01:14,I saw a few videos of them ripping it but idk if the videso were out of context but it looked bad
5/13/2025,01:19,Thats what every norwegian dub is like :(
5/13/2025,01:21,Is the discord on speedrun.com
5/13/2025,01:23,@brandwagen_
5/13/2025,01:24,I want to just browse bilibili and see if I can get an english algo
5/13/2025,01:26,when are you making a bilibili dubbed channel
5/13/2025,01:28,how do I spell it
5/13/2025,01:37,Im back lime
5/13/2025,01:40,I know where this is :)
5/13/2025,01:41,I thought you would know based of the writing
5/13/2025,01:47,why is rs serbia and not russia
5/13/2025,01:56,Winner gets the losers stream key :)
5/13/2025,02:04,He is canadian of course he knows :)
5/13/2025,02:06,I know where this is :)
5/13/2025,02:15,gotta give him your streamkey now :(
5/13/2025,02:16,bambee is waiting :)
5/13/2025,02:18,can someone type it for me :)
5/13/2025,02:06,How does this game work :)
5/13/2025,02:10,Is this like gambling :)
5/13/2025,02:11,isnt emerald like top 5% of players
5/13/2025,02:13,Is this game fun if you dont know what you are doing or do I need to like learn the game
5/13/2025,02:16,I think if you watch an iron play you should give the tips
5/13/2025,02:18,My life is foreever coding
5/13/2025,02:22,Chippy my goat
5/13/2025,02:26,W cumming
5/13/2025,02:27,Yall see darth vader talking about skibidi toilet in fortnite
5/13/2025,02:30,What does a shoutout even do like I got one idk what it did
5/13/2025,02:32,magica129Smoke magica129Smoke magica129Smoke
5/13/2025,02:33,cum.w
5/13/2025,02:39,Its going good lowkey done coding just testing now
5/13/2025,02:43,Yuppers
5/13/2025,02:45,chatgpt makes disney jokes
5/13/2025,02:46,is sheee
5/13/2025,02:50,I dont think I have shitmyself worst case shit by the road
